127.0.0.1 - - [08/Dec/2017:09:42:46 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:42:47 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:42:47 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:03 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:03 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:03 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:11 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:11 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:11 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:14 +0900] "GET /course/viewCourse/showCourseBySemesterDetail?year=2013&semester=2 HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:14 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:16 +0900] "GET /course/ HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:16 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:18 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:18 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:19 +0900] "GET /course/ HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:43:19 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
